species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,40.3,18.0,195,3250,FEMALE
Adelie,Biscoe,42.0,20.2,190,4250,NA
Chinstrap,Dream,52.0,18.1,201,3950,MALE
Adelie,Biscoe,38.8,17.6,191,3275,FEMALE
Gentoo,Biscoe,47.5,14.0,212,4875,FEMALE
Adelie,Torgersen,44.1,18.0,210,4000,MALE
Gentoo,Biscoe,47.8,15.0,215,5650,MALE
Adelie,Biscoe,38.1,17.0,181,3175,FEMALE
Gentoo,Biscoe,46.5,14.5,210,4400,FEMALE
Adelie,Torgersen,39.6,17.7,186,3500,FEMALE
Chinstrap,Dream,51.4,19.0,201,3950,MALE
Gentoo,Biscoe,50.1,15.9,225,5400,MALE
Adelie,Biscoe,39.0,17.5,186,3550,FEMALE
Adelie,Dream,40.2,17.0,193,3400,FEMALE
Gentoo,Biscoe,46.5,13.2,211,4500,FEMALE
Chinstrap,Dream,45.7,17.0,195,3650,FEMALE
Adelie,Biscoe,38.2,20.0,190,3600,MALE
Chinstrap,Dream,47.8,17.6,200,4000,FEMALE
Gentoo,Biscoe,49.3,15.7,218,5775,MALE
Adelie,Torgersen,39.6,17.8,193,3450,FEMALE
Chinstrap,Dream,50.2,19.7,197,3725,MALE
Gentoo,Biscoe,48.1,15.8,222,5175,MALE
Adelie,Biscoe,40.0,18.9,190,3700,MALE
Chinstrap,Dream,50.2,19.8,198,3800,FEMALE
Gentoo,Biscoe,49.8,15.9,215,5500,MALE
Adelie,Torgersen,38.9,17.2,191,3525,FEMALE
Chinstrap,Dream,48.7,18.1,194,4100,MALE
Gentoo,Biscoe,45.5,13.4,214,4925,FEMALE
Adelie,Biscoe,40.6,18.4,195,4025,MALE
Chinstrap,Dream,47.3,17.3,200,3925,FEMALE
Gentoo,Biscoe,49.9,15.9,220,5400,MALE
Adelie,Torgersen,37.6,19.0,190,3350,FEMALE
Chinstrap,Dream,46.8,17.8,195,3450,MALE
Gentoo,Biscoe,48.3,14.3,220,4800,FEMALE
Adelie,Biscoe,37.6,20.1,190,3700,MALE
Chinstrap,Dream,48.0,18.0,200,3825,FEMALE
Gentoo,Biscoe,49.2,15.2,220,5150,MALE
Adelie,Torgersen,39.6,17.8,188,3650,FEMALE
Chinstrap,Dream,51.0,18.7,198,3850,MALE
Gentoo,Biscoe,48.4,14.6,218,4925,MALE
Adelie,Biscoe,39.1,20.0,190,3700,MALE
